PMCID,PMID,Title,Year,Journal,DOI,Authors,Associated Keywords,Citations,Keywords Count,Score,TF,Word Count,Abstract
10503759,37669262,Antagonistic regulation of salt and sugar chemotaxis plasticity by a single chemosensory neuron in Caenorhabditis elegans,2023,PLOS Genetics,10.1371/journal.pgen.1010637.r002,"['Tomioka, Masahiro', 'Umemura, Yusuke', 'Ueoka, Yutaro', 'Chin, Risshun', 'Katae, Keita', 'Uchiyama, Chihiro', 'Ike, Yasuaki', 'Iino, Yuichi', 'Hart, Anne C.', 'Hart, Anne C.', 'Copenhaver, Gregory P.', 'Hart, Anne C.', 'Copenhaver, Gregory P.', 'Hart, Anne C.', 'Copenhaver, Gregory P.', 'Hart, Anne C.', 'Copenhaver, Gregory P.']",[],3,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",8551,"The nematode Caenorhabditis elegans memorizes various external chemicals, such as ions and odorants, during feeding. Here we find that C. elegans is attracted to the monosaccharides glucose and fructose after exposure to these monosaccharides in the presence of food; however, it avoids them without conditioning. The attraction to glucose requires a gustatory neuron called ASEL. ASEL activity increases when glucose concentration decreases. Optogenetic ASEL stimulation promotes forward movements; however, after glucose conditioning, it promotes turning, suggesting that after glucose conditioning, the behavioral output of ASEL activation switches toward glucose. We previously reported that chemotaxis toward sodium ion (Na+), which is sensed by ASEL, increases after Na+ conditioning in the presence of food. Interestingly, glucose conditioning decreases Na+ chemotaxis, and conversely, Na+ conditioning decreases glucose chemotaxis, suggesting the reciprocal inhibition of learned chemotaxis to distinct chemicals. The activation of PKC-1, an nPKC ε/η ortholog, in ASEL promotes glucose chemotaxis and decreases Na+ chemotaxis after glucose conditioning. Furthermore, genetic screening identified ENSA-1, an ortholog of the protein phosphatase inhibitor ARPP-16/19, which functions in parallel with PKC-1 in glucose-induced chemotactic learning toward distinct chemicals. These findings suggest that kinase–phosphatase signaling regulates the balance between learned behaviors based on glucose conditioning in ASEL, which might contribute to migration toward chemical compositions where the animals were previously fed."
6748829,31526477,Evolution of neuronal anatomy and circuitry in two highly divergent nematode species,2019,eLife,10.7554/eLife.47155.053,"['Hong, Ray L', 'Riebesell, Metta', 'Bumbarger, Daniel J', 'Cook, Steven J', 'Carstensen, Heather R', 'Sarpolaki, Tahmineh', 'Cochella, Luisa', 'Castrejon, Jessica', 'Moreno, Eduardo', 'Sieriebriennikov, Bogdan', 'Hobert, Oliver', 'Sommer, Ralf J', 'Sengupta, Piali', 'Marder, Eve', 'Sengupta, Piali']","['neuroanatomy', 'pristionchus pacificus', 'chemosensory', 'neural circuitry', 'nematode', 'electron microscopy', 'other', 'c. elegans']",35,"{'lsy-6': 4, 'che-1': 33}",15.880449576234108,"{'lsy-6': 0.00027559597629874606, 'che-1': 0.0022736668044646548}",14514,"The nematodes C. elegans and P. pacificus populate diverse habitats and display distinct patterns of behavior. To understand how their nervous systems have diverged, we undertook a detailed examination of the neuroanatomy of the chemosensory system of P. pacificus. Using independent features such as cell body position, axon projections and lipophilic dye uptake, we have assigned homologies between the amphid neurons, their first-layer interneurons, and several internal receptor neurons of P. pacificus and C. elegans. We found that neuronal number and soma position are highly conserved. However, the morphological elaborations of several amphid cilia are different between them, most notably in the absence of ‘winged’ cilia morphology in P. pacificus. We established a synaptic wiring diagram of amphid sensory neurons and amphid interneurons in P. pacificus and found striking patterns of conservation and divergence in connectivity relative to C. elegans, but very little changes in relative neighborhood of neuronal processes. These findings demonstrate the existence of several constraints in patterning the nervous system and suggest that major substrates for evolutionary novelty lie in the alterations of dendritic structures and synaptic connectivity."
10393296,37449480,Forkhead transcription factor FKH-8 cooperates with RFX in the direct regulation of sensory cilia in Caenorhabditis elegans,2023,eLife,10.7554/eLife.89702.sa2,"['Brocal-Ruiz, Rebeca', 'Esteve-Serrano, Ainara', 'Mora-Martínez, Carlos', 'Franco-Rivadeneira, Maria Luisa', 'Swoboda, Peter', 'Tena, Juan J', 'Vilar, Marçal', 'Flames, Nuria', 'Portman, Douglas', 'Sengupta, Piali', 'Portman, Douglas', 'Portman, Douglas']","['transcription factors', 'cilium', 'terminal differentiation', 'c. elegans']",7,"{'lsy-6': 0, 'che-1': 6}",1.2895212936458615,"{'lsy-6': 0.0, 'che-1': 0.00041782729805013927}",14360,"Cilia, either motile or non-motile (a.k.a primary or sensory), are complex evolutionarily conserved eukaryotic structures composed of hundreds of proteins required for their assembly, structure and function that are collectively known as the ciliome. Ciliome gene mutations underlie a group of pleiotropic genetic diseases known as ciliopathies. Proper cilium function requires the tight coregulation of ciliome gene transcription, which is only fragmentarily understood. RFX transcription factors (TF) have an evolutionarily conserved role in the direct activation of ciliome genes both in motile and non-motile cilia cell-types. In vertebrates, FoxJ1 and FoxN4 Forkhead (FKH) TFs work with RFX in the direct activation of ciliome genes, exclusively in motile cilia cell-types. No additional TFs have been described to act together with RFX in primary cilia cell-types in any organism. Here we describe FKH-8, a FKH TF, as a direct regulator of the sensory ciliome genes in Caenorhabditis elegans. FKH-8 is expressed in all ciliated neurons in C. elegans, binds the regulatory regions of ciliome genes, regulates ciliome gene expression, cilium morphology and a wide range of behaviors mediated by sensory ciliated neurons. FKH-8 and DAF-19 (C. elegans RFX) physically interact and synergistically regulate ciliome gene expression. C. elegans FKH-8 function can be replaced by mouse FOXJ1 and FOXN4 but not by other members of other mouse FKH subfamilies. In conclusion, RFX and FKH TF families act jointly as direct regulators of ciliome genes also in sensory ciliated cell types suggesting that this regulatory logic could be an ancient trait predating functional cilia sub-specialization."
5965667,29712787,FLP-18 Functions through the G-Protein-Coupled Receptors NPR-1 and NPR-4 to Modulate Reversal Length in Caenorhabditis elegans,2018,The Journal of Neuroscience,10.1523/JNEUROSCI.1955-17.2018,"['Bhardwaj, Ashwani', 'Thapliyal, Saurabh', 'Dahiya, Yogesh', 'Babu, Kavita']","['flp-18', 'npr-1', 'npr-4', 'reversal length']",26,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",8216,"Animal behavior is critically dependent on the activity of neuropeptides. Reversals, one of the most conspicuous behaviors in Caenorhabditis elegans, plays an important role in determining the navigation strategy of the animal. Our experiments on hermaphrodite C. elegans show the involvement of a neuropeptide FLP-18 in modulating reversal length in these hermaphrodites. We show that FLP-18 controls the reversal length by regulating the activity of AVA interneurons through the G-protein-coupled neuropeptide receptors, NPR-4 and NPR-1. We go on to show that the site of action of these receptors is the AVA interneuron for NPR-4 and the ASE sensory neurons for NPR-1. We further show that mutants in the neuropeptide, flp-18, and its receptors show increased reversal lengths. Consistent with the behavioral data, calcium levels in the AVA neuron of freely reversing C. elegans were significantly higher and persisted for longer durations in flp-18, npr-1, npr-4, and npr-1 npr-4 genetic backgrounds compared with wild-type control animals. Finally, we show that increasing FLP-18 levels through genetic and physiological manipulations causes shorter reversal lengths. Together, our analysis suggests that the FLP-18/NPR-1/NPR-4 signaling is a pivotal point in the regulation of reversal length under varied genetic and environmental conditions."
9977185,36857454,Functional imaging and quantification of multineuronal olfactory responses in C. elegans,2023,Science Advances,10.1126/sciadv.ade1249,"['Lin, Albert', 'Qin, Shanshan', 'Casademunt, Helena', 'Wu, Min', 'Hung, Wesley', 'Cain, Gregory', 'Tan, Nicolas Z.', 'Valenzuela, Raymond', 'Lesanpezeshki, Leila', 'Venkatachalam, Vivek', 'Pehlevan, Cengiz', 'Zhen, Mei', 'Samuel, Aravinthan D.T.']",[],25,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",9508,"Many animals perceive odorant molecules by collecting information from ensembles of olfactory neurons, where each neuron uses receptors that are tuned to recognize certain odorant molecules with different binding affinity. Olfactory systems are able, in principle, to detect and discriminate diverse odorants using combinatorial coding strategies. We have combined microfluidics and multineuronal imaging to study the ensemble-level olfactory representations at the sensory periphery of the nematode Caenorhabditis elegans. The collective activity of C. elegans chemosensory neurons reveals high-dimensional representations of olfactory information across a broad space of odorant molecules. We reveal diverse tuning properties and dose-response curves across chemosensory neurons and across odorants. We describe the unique contribution of each sensory neuron to an ensemble-level code for volatile odorants. We show that a natural stimuli, a set of nematode pheromones, are also encoded by the sensory ensemble. The integrated activity of the C. elegans chemosensory neurons contains sufficient information to robustly encode the intensity and identity of diverse chemical stimuli."
10639090,37591249,Anatomical restructuring of a lateralized neural circuit during associative learning by asymmetric insulin signaling,2023,Current biology : CB,10.1016/j.cub.2023.07.041,"['Tang, Leo T.H.', 'Lee, Garrett A.', 'Cook, Steven J.', 'Ho, Jacquelin', 'Potter, Cassandra C.', 'Bülow, Hannes E.']",[],5,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"Studies of neuronal connectivity in model organisms, i.e., of their connectomes, have been instrumental in dissecting the structure-function relationship of nervous systems. However, the limited sample size of these studies has impeded analyses into how variation of connectivity across populations may influence circuit architecture and behavior. Moreover, little is known about how experiences induce changes in circuit architecture. Here, we show that an asymmetric salt-sensing circuit in the nematode Caenorhabditis elegans exhibits variation that predicts the animals’ salt preferences and undergoes restructuring during salt associative learning. Naive worms memorize and prefer the salt concentration they experience in the presence of food through a left-biased neural network architecture. However, animals conditioned at elevated salt concentrations change this left-biased network to a right-biased network. This change in circuit architecture occurs through the addition of new synapses in response to asymmetric, paracrine insulin signaling. Therefore, experience-dependent changes in an animal’s neural connectome are induced by insulin signaling and are fundamental to learning and behavior."
6018680,29373666,Identification of Odor Blend Used by Caenorhabditis elegans for Pathogen Recognition,2018,Chemical Senses,10.1093/chemse/bjy001,"['Worthy, Soleil E', 'Rojas, German L', 'Taylor, Charles J', 'Glater, Elizabeth E']","['food', 'odor mixture', 'olfaction', 'serratia marcescens', 'solid-phase microextraction']",21,"{'lsy-6': 0, 'che-1': 2}",1.0604959921806172,"{'lsy-6': 0.0, 'che-1': 0.00026695141484249865}",7492,"Animals have evolved specialized pathways to detect appropriate food sources and avoid harmful ones. Caenorhabditis elegans can distinguish among the odors of various species of bacteria, its major food source, but little is known about what specific chemical cue or combination of chemical cues C. elegans uses to detect and recognize different microbes. Here, we examine the strong innate attraction of C. elegans for the odor of the pathogenic bacterium, Serratia marcescens. This initial attraction likely facilitates ingestion and infection of the C. elegans host. Using solid-phase microextraction and gas chromatography coupled with mass spectrometry, we identify 5 volatile odors released by S. marcescens and identify those that are attractive to C. elegans. We use genetic methods to show that the amphid chemosensory neuron, AWCON, senses both S. marcescens-released 2-butanone and acetone and drives attraction to S. marcescens. In C. elegans, pairing a single odorant with food deprivation results in a reduced attractive response for that specific odor. We find that pairing the natural odor of S. marcescens with food deprivation results in a reduced attraction for the natural odor of S. marcescens and a similar reduced attraction for the synthetic blend of acetone and 2-butanone. This result indicates that only 2 odorants represent the more complex odor bouquet of S. marcescens. Although bacterial-released volatiles have long been known to be attractive to C. elegans, this study defines for the first time specific volatile cues that represent a particular bacterium to C. elegans."
8503520,34646119,Transcription Factors That Control Behavior—Lessons From C. elegans,2021,Frontiers in Neuroscience,10.3389/fnins.2021.745376,"['Godini, Rasoul', 'Handley, Ava', 'Pocock, Roger']","['transcription factors', 'caenorabditis elegans', 'behavior', 'neuronal specification and differentiation', 'neuronal circuit development', 'sex-specific behavior', 'sensory systems']",4,"{'lsy-6': 0, 'che-1': 3}",0.8811645318824594,"{'lsy-6': 0.0, 'che-1': 0.00040447620331670486}",7417,"Behavior encompasses the physical and chemical response to external and internal stimuli. Neurons, each with their own specific molecular identities, act in concert to perceive and relay these stimuli to drive behavior. Generating behavioral responses requires neurons that have the correct morphological, synaptic, and molecular identities. Transcription factors drive the specific gene expression patterns that define these identities, controlling almost every phenomenon in a cell from development to homeostasis. Therefore, transcription factors play an important role in generating and regulating behavior. Here, we describe the transcription factors, the pathways they regulate, and the neurons that drive chemosensation, mechanosensation, thermosensation, osmolarity sensing, complex, and sex-specific behaviors in the animal model Caenorhabditis elegans. We also discuss the current limitations in our knowledge, particularly our minimal understanding of how transcription factors contribute to the adaptive behavioral responses that are necessary for organismal survival."
8495942,33784383,Genome-wide RNAi screen for regulators of UPRmt in Caenorhabditis elegans mutants with defects in mitochondrial fusion,2021,G3: Genes|Genomes|Genetics,10.1093/g3journal/jkab095,"['Haeussler, Simon', 'Yeroslaviz, Assa', 'Rolland, Stéphane G', 'Luehr, Sebastian', 'Lambie, Eric J', 'Conradt, Barbara']","['mitochondrial unfolded protein response', 'mitochondrial dynamics', 'fzo-1', 'ip3 signaling', 'mitoguardin']",7,"{'lsy-6': 0, 'che-1': 1}",0.21247878114463076,"{'lsy-6': 0.0, 'che-1': 8.032128514056225e-05}",12450,"Mitochondrial dynamics plays an important role in mitochondrial quality control and the adaptation of metabolic activity in response to environmental changes. The disruption of mitochondrial dynamics has detrimental consequences for mitochondrial and cellular homeostasis and leads to the activation of the mitochondrial unfolded protein response (UPRmt), a quality control mechanism that adjusts cellular metabolism and restores homeostasis. To identify genes involved in the induction of UPRmt in response to a block in mitochondrial fusion, we performed a genome-wide RNAi screen in Caenorhabditis elegans mutants lacking the gene fzo-1, which encodes the ortholog of mammalian Mitofusin, and identified 299 suppressors and 86 enhancers. Approximately 90% of these 385 genes are conserved in humans, and one-third of the conserved genes have been implicated in human disease. Furthermore, many have roles in developmental processes, which suggests that mitochondrial function and their response to stress are defined during development and maintained throughout life. Our dataset primarily contains mitochondrial enhancers and non-mitochondrial suppressors of UPRmt, indicating that the maintenance of mitochondrial homeostasis has evolved as a critical cellular function, which, when disrupted, can be compensated for by many different cellular processes. Analysis of the subsets “non-mitochondrial enhancers” and “mitochondrial suppressors” suggests that organellar contact sites, especially between the ER and mitochondria, are of importance for mitochondrial homeostasis. In addition, we identified several genes involved in IP3 signaling that modulate UPRmt in fzo-1 mutants and found a potential link between pre-mRNA splicing and UPRmt activation."
9004350,35323022,The Ubiquitous Soil Terpene Geosmin Acts as a Warning Chemical,2022,Applied and Environmental Microbiology,10.1128/aem.00093-22,"['Zaroubi, Liana', 'Ozugergin, Imge', 'Mastronardi, Karina', 'Imfeld, Anic', 'Law, Chris', 'Gélinas, Yves', 'Piekny, Alisa', 'Findlay, Brandon L.', 'Nojiri, Hideaki']","['2-methylisoborneol', 'geosmin', 'aposematism', 'caenorhabditis elegans', 'chemical ecology', 'natural products', 'predation', 'prey', 'warning chemical', 'warning signal']",24,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"Known as the smell of earth after rain, geosmin is an odorous terpene detectable by humans at picomolar concentrations. Geosmin production is heavily conserved in actinobacteria, myxobacteria, cyanobacteria, and some fungi, but its biological activity is poorly understood. We theorized that geosmin was an aposematic signal used to indicate the unpalatability of toxin-producing microbes, discouraging predation by eukaryotes. Consistent with this hypothesis, we found that geosmin altered the behavior of the bacteriophagous nematode Caenorhabditis elegans on agar plates in the absence of bacteria. Normal movement was restored in mutant worms lacking differentiated ASE (amphid neurons, single ciliated endings) neurons, suggesting that geosmin is a taste detected by the nematodal gustatory system. In a predation assay, geosmin and the related terpene 2-methylisoborneol reduced grazing on the bacterium Streptomyces coelicolor. Predation was restored by the removal of both terpene biosynthetic pathways or the introduction of C. elegans that lacked differentiated ASE taste neurons, leading to the apparent death of both bacteria and worms. While geosmin and 2-methylisoborneol appeared to be nontoxic, grazing triggered bacterial sporulation and the production of actinorhodin, a pigment coproduced with a number of toxic metabolites. In this system, geosmin thus appears to act as a warning signal indicating the unpalatability of its producers and reducing predation in a manner that benefits predator and prey. This suggests that molecular signaling may affect microbial predator-prey interactions in a manner similar to that of the well-studied visual markers of poisonous animal prey."
